"run";"randomSeed";"player_count";"slender_running_speed";"slender_radius";"player_big_radius";"player_speed";"player_small_radius";"slender_walking_speed"
1;-286615581;1;0.1;1;1;1;1;0.1
3;-286613754;3;0.3;3;3;3;3;0.3
5;-286613261;5;0.5;5;5;5;5;0.5
7;-286612991;7;0.7;7;7;5;7;0.7
9;-286612684;9;0.9;9;9;5;9;0.9
11;-286612291;11;1.1;11;11;5;11;1.1
13;-286611764;13;1.3;13;13;5;13;1.3
15;-286611406;15;1.3;15;15;5;15;1.3
2;-286616621;2;0.2;2;2;2;2;0.2
4;-286616283;4;0.4;4;4;4;4;0.4
6;-286616045;6;0.6;6;6;5;6;0.6
8;-286615480;8;0.8;8;8;5;8;0.8
10;-286615230;10;1.0;10;10;5;10;1.0
12;-286614271;12;1.2;12;12;5;12;1.2
14;-286613609;14;1.3;14;14;5;14;1.3
