"run";"randomSeed";"player_count";"slender_running_speed";"slender_radius";"player_big_radius";"player_speed";"player_small_radius";"slender_walking_speed"
1;-216989593;5;0.5;1;5;1;1;0.1
3;-216986420;5;0.5;1;5;1;3;0.1
5;-216981938;5;0.5;1;5;3;1;0.1
7;-216981285;5;0.5;1;5;3;3;0.1
9;-216980686;5;0.5;1;8;1;1;0.1
11;-216979775;5;0.5;1;8;1;3;0.1
13;-216978653;5;0.5;1;8;3;1;0.1
15;-216978305;5;0.5;1;8;3;3;0.1
17;-216977970;5;0.5;5;5;1;1;0.1
19;-216977628;5;0.5;5;5;1;3;0.1
21;-216975748;5;0.5;5;5;3;1;0.1
23;-216975394;5;0.5;5;5;3;3;0.1
25;-216975183;5;0.5;5;8;1;1;0.1
27;-216974853;5;0.5;5;8;1;3;0.1
29;-216972948;5;0.5;5;8;3;1;0.1
31;-216972849;5;0.5;5;8;3;3;0.1
33;-216972573;5;0.8;1;5;1;1;0.1
35;-216972369;5;0.8;1;5;1;3;0.1
37;-216971927;5;0.8;1;5;3;1;0.1
39;-216971753;5;0.8;1;5;3;3;0.1
41;-216971589;5;0.8;1;8;1;1;0.1
43;-216971367;5;0.8;1;8;1;3;0.1
45;-216971107;5;0.8;1;8;3;1;0.1
47;-216970885;5;0.8;1;8;3;3;0.1
49;-216970589;5;0.8;5;5;1;1;0.1
51;-216970223;5;0.8;5;5;1;3;0.1
53;-216969812;5;0.8;5;5;3;1;0.1
55;-216969562;5;0.8;5;5;3;3;0.1
57;-216969420;5;0.8;5;8;1;1;0.1
59;-216969224;5;0.8;5;8;1;3;0.1
61;-216968804;5;0.8;5;8;3;1;0.1
63;-216968625;5;0.8;5;8;3;3;0.1
65;-216968421;8;0.5;1;5;1;1;0.1
67;-216968299;8;0.5;1;5;1;3;0.1
69;-216967488;8;0.5;1;5;3;1;0.1
71;-216967306;8;0.5;1;5;3;3;0.1
73;-216967202;8;0.5;1;8;1;1;0.1
75;-216966972;8;0.5;1;8;1;3;0.1
77;-216965142;8;0.5;1;8;3;1;0.1
79;-216965016;8;0.5;1;8;3;3;0.1
81;-216964862;8;0.5;5;5;1;1;0.1
83;-216964573;8;0.5;5;5;1;3;0.1
85;-216964137;8;0.5;5;5;3;1;0.1
87;-216963884;8;0.5;5;5;3;3;0.1
89;-216963558;8;0.5;5;8;1;1;0.1
91;-216963271;8;0.5;5;8;1;3;0.1
93;-216962207;8;0.5;5;8;3;1;0.1
95;-216962082;8;0.5;5;8;3;3;0.1
97;-216961896;8;0.8;1;5;1;1;0.1
99;-216961575;8;0.8;1;5;1;3;0.1
101;-216960460;8;0.8;1;5;3;1;0.1
103;-216960319;8;0.8;1;5;3;3;0.1
105;-216959894;8;0.8;1;8;1;1;0.1
107;-216959586;8;0.8;1;8;1;3;0.1
109;-216959051;8;0.8;1;8;3;1;0.1
111;-216958917;8;0.8;1;8;3;3;0.1
113;-216958699;8;0.8;5;5;1;1;0.1
115;-216958514;8;0.8;5;5;1;3;0.1
117;-216957594;8;0.8;5;5;3;1;0.1
119;-216957450;8;0.8;5;5;3;3;0.1
121;-216957314;8;0.8;5;8;1;1;0.1
123;-216957204;8;0.8;5;8;1;3;0.1
125;-216956704;8;0.8;5;8;3;1;0.1
127;-216956642;8;0.8;5;8;3;3;0.1
2;-216989406;5;0.5;1;5;1;1;0.3
4;-216986543;5;0.5;1;5;1;3;0.3
6;-216982298;5;0.5;1;5;3;1;0.3
8;-216981996;5;0.5;1;5;3;3;0.3
10;-216981611;5;0.5;1;8;1;1;0.3
12;-216981113;5;0.5;1;8;1;3;0.3
14;-216980494;5;0.5;1;8;3;1;0.3
16;-216980009;5;0.5;1;8;3;3;0.3
18;-216978780;5;0.5;5;5;1;1;0.3
20;-216977791;5;0.5;5;5;1;3;0.3
22;-216975241;5;0.5;5;5;3;1;0.3
24;-216975014;5;0.5;5;5;3;3;0.3
26;-216974661;5;0.5;5;8;1;1;0.3
28;-216973830;5;0.5;5;8;1;3;0.3
