"run";"randomSeed";"player_count";"slender_running_speed";"slender_radius";"player_big_radius";"player_speed";"player_small_radius";"slender_walking_speed"
30;-216972432;5;0.5;5;8;3;1;0.3
32;-216972304;5;0.5;5;8;3;3;0.3
34;-216972090;5;0.8;1;5;1;1;0.3
36;-216971840;5;0.8;1;5;1;3;0.3
38;-216971478;5;0.8;1;5;3;1;0.3
40;-216971344;5;0.8;1;5;3;3;0.3
42;-216971162;5;0.8;1;8;1;1;0.3
44;-216970603;5;0.8;1;8;1;3;0.3
46;-216970027;5;0.8;1;8;3;1;0.3
48;-216969659;5;0.8;1;8;3;3;0.3
50;-216969491;5;0.8;5;5;1;1;0.3
52;-216969386;5;0.8;5;5;1;3;0.3
54;-216968846;5;0.8;5;5;3;1;0.3
56;-216968750;5;0.8;5;5;3;3;0.3
58;-216968561;5;0.8;5;8;1;1;0.3
60;-216968183;5;0.8;5;8;1;3;0.3
62;-216968093;5;0.8;5;8;3;1;0.3
64;-216967922;5;0.8;5;8;3;3;0.3
66;-216967779;8;0.5;1;5;1;1;0.3
68;-216967491;8;0.5;1;5;1;3;0.3
70;-216966492;8;0.5;1;5;3;1;0.3
72;-216966353;8;0.5;1;5;3;3;0.3
74;-216966199;8;0.5;1;8;1;1;0.3
76;-216965809;8;0.5;1;8;1;3;0.3
78;-216964849;8;0.5;1;8;3;1;0.3
80;-216964699;8;0.5;1;8;3;3;0.3
82;-216964516;8;0.5;5;5;1;1;0.3
84;-216964426;8;0.5;5;5;1;3;0.3
86;-216964031;8;0.5;5;5;3;1;0.3
88;-216963719;8;0.5;5;5;3;3;0.3
90;-216963253;8;0.5;5;8;1;1;0.3
92;-216962915;8;0.5;5;8;1;3;0.3
94;-216961704;8;0.5;5;8;3;1;0.3
96;-216961357;8;0.5;5;8;3;3;0.3
98;-216960999;8;0.8;1;5;1;1;0.3
100;-216960594;8;0.8;1;5;1;3;0.3
102;-216960062;8;0.8;1;5;3;1;0.3
104;-216959855;8;0.8;1;5;3;3;0.3
106;-216959658;8;0.8;1;8;1;1;0.3
108;-216959136;8;0.8;1;8;1;3;0.3
110;-216958840;8;0.8;1;8;3;1;0.3
112;-216958750;8;0.8;1;8;3;3;0.3
114;-216958650;8;0.8;5;5;1;1;0.3
116;-216958465;8;0.8;5;5;1;3;0.3
118;-216958035;8;0.8;5;5;3;1;0.3
120;-216957859;8;0.8;5;5;3;3;0.3
122;-216957628;8;0.8;5;8;1;1;0.3
124;-216957460;8;0.8;5;8;1;3;0.3
126;-216957320;8;0.8;5;8;3;1;0.3
128;-216957219;8;0.8;5;8;3;3;0.3
