"run";"randomSeed";"device_timeout";"player_count";"slender_running_speed";"slender_radius";"player_big_radius";"player_speed";"player_small_radius";"slender_walking_speed"
76;1617018135;50;8;0.5;1;8;1;3;0.3
78;1617018163;50;8;0.5;1;8;3;1;0.3
80;1617018443;50;8;0.5;1;8;3;3;0.3
82;1617018526;50;8;0.5;5;5;1;1;0.3
84;1617019017;50;8;0.5;5;5;1;3;0.3
86;1617019197;50;8;0.5;5;5;3;1;0.3
88;1617019325;50;8;0.5;5;5;3;3;0.3
90;1617019433;50;8;0.5;5;8;1;1;0.3
92;1617019607;50;8;0.5;5;8;1;3;0.3
94;1617019826;50;8;0.5;5;8;3;1;0.3
96;1617020124;50;8;0.5;5;8;3;3;0.3
98;1617020419;50;8;0.8;1;5;1;1;0.3
100;1617020599;50;8;0.8;1;5;1;3;0.3
102;1617021630;50;8;0.8;1;5;3;1;0.3
104;1617021890;50;8;0.8;1;5;3;3;0.3
106;1617022063;50;8;0.8;1;8;1;1;0.3
108;1617022230;50;8;0.8;1;8;1;3;0.3
110;1617022655;50;8;0.8;1;8;3;1;0.3
112;1617022753;50;8;0.8;1;8;3;3;0.3
114;1617023071;50;8;0.8;5;5;1;1;0.3
116;1617023299;50;8;0.8;5;5;1;3;0.3
118;1617024178;50;8;0.8;5;5;3;1;0.3
120;1617024262;50;8;0.8;5;5;3;3;0.3
122;1617024484;50;8;0.8;5;8;1;1;0.3
124;1617024692;50;8;0.8;5;8;1;3;0.3
126;1617025196;50;8;0.8;5;8;3;1;0.3
128;1617025232;50;8;0.8;5;8;3;3;0.3
