"run";"randomSeed";"player_count";"slender_running_speed";"slender_radius";"player_big_radius";"player_speed";"player_small_radius";"slender_walking_speed"
1;-285752111;1;0.1;1;1;1;1;0.1
11;-285750303;11;1.1;11;11;5;11;1.1
10;-285737309;10;1.0;10;10;5;10;1.0
2;-285752540;2;0.2;2;2;2;2;0.2
12;-285750892;12;1.2;12;12;5;12;1.2
3;-285747796;3;0.3;3;3;3;3;0.3
13;-285746259;13;1.3;13;13;5;13;1.3
4;-285745001;4;0.4;4;4;4;4;0.4
14;-285743137;14;1.3;14;14;5;14;1.3
5;-285745074;5;0.5;5;5;5;5;0.5
15;-285743407;15;1.3;15;15;5;15;1.3
6;-285740994;6;0.6;6;6;5;6;0.6
7;-285740683;7;0.7;7;7;5;7;0.7
8;-285738622;8;0.8;8;8;5;8;0.8
9;-285736250;9;0.9;9;9;5;9;0.9
